
[5 rows x 21 columns]
         848854489 function calls (835604717 primitive calls) in 803.907 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1034    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
     2456    0.002    0.000    0.138    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      653    0.003    0.000    0.178    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
      653    0.001    0.000    0.178    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
      861    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       73    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1466(__init__)
      584    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1472(<genexpr>)
      630    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
      957    0.010    0.000    0.162    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
      788    0.001    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       73    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
       73    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1585(<setcomp>)
       73    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
       73    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1597(path_hook_for_FileFinder)
      138    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:167(_path_isabs)
     1130    0.005    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      630    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      565    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      565    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      565    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
      957    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      565    0.002    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      630    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
     1695    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      565    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
    565/6    0.002    0.000    1.126    0.188 <frozen importlib._bootstrap_external>:844(exec_module)
     4614    0.030    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
      565    0.007    0.000    0.212    0.000 <frozen importlib._bootstrap_external>:916(get_code)
       73    0.000    0.000    0.005    0.000 <frozen zipimport>:63(__init__)
       42    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        5    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 ElementPath.py:334(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.003    0.003 ElementTree.py:1(<module>)
  3565191    1.026    0.000    1.026    0.000 ElementTree.py:1033(_escape_cdata)
  7238740    3.024    0.000    3.024    0.000 ElementTree.py:1049(_escape_attrib)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        8    0.000    0.000   68.817    8.602 ElementTree.py:1092(tostring)
